COLUMN,DESCRIPTION,TYPE,LENGTH,DECIML,RANGEVAL,UNITS,CODE,NOTES,TBLNAME,CRFNAME
RID,Participant roster ID,,,,,,,The 4 digit roster ID (RID) should be used to merge data,ADNIMERGE,Key ADNI tables merged into one table
PTID,Participant ID,,,,,,,3 digit site number and 4 digit roster ID (RID) separated by '_S_',ADNIMERGE,Key ADNI tables merged into one table
VISCODE,Visit code,,,,,,,,ADNIMERGE,Key ADNI tables merged into one table
D1,Denotes whether participant belongs to dataset D1,,,,,,,, , 
D2,Denotes whether participant belongs to dataset D2,,,,,,,, , 
DXCHANGE,"1=Stable:NL to NL, 2=Stable:MCI to MCI, 3=Stable:AD to AD, 4=Conv:NL to MCI, 5=Conv:MCI to AD, 6=Conv:NL to AD, 7=Rev:MCI to NL, 8=Rev:AD to MCI, 9=Rev:AD to NL, -1=Not available",,,,,,,, , 
SITE,Site,,,,,,,,ADNIMERGE,Key ADNI tables merged into one table
COLPROT,Protocol under which data was collected,,,,,,,,ADNIMERGE,Key ADNI tables merged into one table
ORIGPROT,Protocol from which subject originated,,,,,,,,ADNIMERGE,Key ADNI tables merged into one table
EXAMDATE,Examination Date,,,,,,,From registry table,ADNIMERGE,Key ADNI tables merged into one table
DX_bl,Baseline Dx,,,,,,,From studysum table,ADNIMERGE,Key ADNI tables merged into one table
AGE,Age at baseline,,,,,,,From ptdemog table,ADNIMERGE,Key ADNI tables merged into one table
PTGENDER,Sex,,,,,,,From ptdemog table,ADNIMERGE,Key ADNI tables merged into one table
PTEDUCAT,Education,,,,,,,From ptdemog table,ADNIMERGE,Key ADNI tables merged into one table
PTETHCAT,Ethnicity,,,,,,,From ptdemog table,ADNIMERGE,Key ADNI tables merged into one table
PTRACCAT,Race,,,,,,,From ptdemog table,ADNIMERGE,Key ADNI tables merged into one table
PTMARRY,Marital status at baseline,,,,,,,From ptdemog table,ADNIMERGE,Key ADNI tables merged into one table
APOE4,ApoE4,,,,,,,From apoe table,ADNIMERGE,Key ADNI tables merged into one table
FDG,"Average FDG-PET of angular, temporal, and posterior cingulate",,,,,,,From ucberkeleyfdg table,ADNIMERGE,Key ADNI tables merged into one table
PIB,"Average PIB SUVR of frontal cortex, anterior cingulate, precuneus cortex, and parietal cortex",,,,,,,From pibpetsuvr table,ADNIMERGE,Key ADNI tables merged into one table
AV45,"Average AV45 SUVR of frontal, anterior cingulate, precuneus, and parietal cortex relative to the cer",,,,,,,From ucberkeleyav45 table,ADNIMERGE,Key ADNI tables merged into one table
CDRSB,CDR-SB,,,,,,,From cdr table,ADNIMERGE,Key ADNI tables merged into one table
ADAS11,ADAS 11,,,,,,,From adas table,ADNIMERGE,Key ADNI tables merged into one table
ADAS13,ADAS 13,,,,,,,From adas table,ADNIMERGE,Key ADNI tables merged into one table
MMSE,MMSE,,,,,,,From mmse table,ADNIMERGE,Key ADNI tables merged into one table
RAVLT,RAVLT (forgetting),,,,,,,From neurobat table,ADNIMERGE,Key ADNI tables merged into one table
RAVLT_immediate,RAVLT (5 sum),,,,,,,From neurobat table,ADNIMERGE,Key ADNI tables merged into one table
FAQ,FAQ,,,,,,,From neurobat table,ADNIMERGE,Key ADNI tables merged into one table
MOCA,MOCA,,,,,,,From moca table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtMem,Participant ECog - Mem,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtLang,Participant ECog - Lang,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtVisspat,Participant ECog - Vis/Spat,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtPlan,Participant ECog - Plan,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtOrgan,Participant ECog - Organ,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtDivatt,Participant ECog - Div atten,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogPtTotal,Participant ECog - Total,,,,,,,Mean of non-missing responses from ecogpt table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPMem,Study Partner ECog - Mem,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPLang,Study Partner ECog - Lang,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPVisspat,Study Partner ECog - Vis/Spat,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPPlan,Study Partner ECog - Plan,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPOrgan,Study Partner ECog - Organ,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPDivatt,Study Partner ECog - Div atten,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
EcogSPTotal,Study Partner ECog - Total,,,,,,,Mean of non-missing responses from ecogsp table,ADNIMERGE,Key ADNI tables merged into one table
